分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 55 ms, 最高速率: 19.70 M/s, 平均速率: 17.82 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 53 ms, 最高速率: 19.03 M/s, 平均速率: 17.27 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 50 ms, 最高速率: 20.84 M/s, 平均速率: 15.09 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 51 ms, 最高速率: 19.53 M/s, 平均速率: 17.97 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 61 ms, 最高速率: 17.90 M/s, 平均速率: 16.04 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 4, IPv4: 30, IPv6: 0, 最小延迟: 51 ms, 最高速率: 18.87 M/s, 平均速率: 14.39 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 54 ms, 最高速率: 20.23 M/s, 平均速率: 17.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 51 ms, 最高速率: 20.04 M/s, 平均速率: 18.34 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 65 ms, 最高速率: 17.64 M/s, 平均速率: 14.53 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 53 ms, 最高速率: 17.94 M/s, 平均速率: 16.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 50 ms, 最高速率: 18.90 M/s, 平均速率: 17.33 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 52 ms, 最高速率: 18.94 M/s, 平均速率: 16.91 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 56 ms, 最高速率: 18.73 M/s, 平均速率: 15.27 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 6, IPv4: 38, IPv6: 0, 最小延迟: 52 ms, 最高速率: 20.16 M/s, 平均速率: 16.68 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 52 ms, 最高速率: 20.37 M/s, 平均速率: 18.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 62 ms, 最高速率: 19.37 M/s, 平均速率: 15.37 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 52 ms, 最高速率: 18.34 M/s, 平均速率: 11.31 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 49 ms, 最高速率: 19.51 M/s, 平均速率: 18.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 55 ms, 最高速率: 24.37 M/s, 平均速率: 16.77 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CETV-1, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 62 ms, 最高速率: 16.27 M/s, 平均速率: 16.06 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 62 ms, 最高速率: 18.12 M/s, 平均速率: 17.10 M/s, 最高分辨率: 1920x1080
